protein,subtype,beta,pvalue,qvalue,p_corrected
ADAM12,5,0.007556407594998942,0.021624521808642723,0.04169424620492262,1.0
ADAM15,1,0.009080462147861719,6.185490710111758e-14,2.0592470780930148e-13,1.808018934565667e-10
ADAM15,2,0.008754740010138443,1.4170023900100164e-10,4.867095165686578e-10,4.141897985999278e-07
ADAM15,3,0.009803683260342252,3.406886189214145e-10,1.2701949401878757e-09,9.958328331072946e-07
ADAM15,4,0.015276428150530368,2.3575551183687837e-25,1.0316068279928076e-24,6.891133610991955e-22
ADAM15,5,0.011294668149360967,3.5278454850074315e-06,1.4068065965452555e-05,0.010311892352676722
ADAM22,1,0.007608402840091807,5.472503056532113e-13,1.7655768691217844e-12,1.5996126434243367e-09
ADAM22,2,0.013668899246286673,1.1563975133651593e-30,7.146194358491249e-30,3.3801499315663605e-27
ADAM22,3,0.006242158456406038,4.560420377335317e-05,0.00011531235954109976,0.13330108762951132
ADAM22,4,0.01708119778649121,2.8389425718482104e-36,2.4697110528310474e-35,8.298229137512319e-33
ADAM22,5,0.02875667778010748,4.429432265803338e-31,6.315722201435687e-30,1.2947230512943157e-27
ADAM23,1,0.009395119457518674,2.088799267444672e-15,7.39171944157479e-15,6.105560258740777e-12
ADAM23,2,0.009071603903519743,8.406142488969919e-13,3.1420913676801883e-12,2.4571154495259073e-09
ADAM23,3,0.0057689418484863945,0.00034683886619326303,0.0007798538506791599,1.0
ADAM23,4,0.010953308157037104,1.6104404214279254e-14,4.118387884369052e-14,4.7073173518338263e-11
ADAM23,5,0.01813179453547874,1.5331264959157586e-15,1.1672620738923758e-14,4.481328747561762e-12
ADAM8,1,0.003509605667151324,0.001674601713289955,0.003032751429954485,1.0
ADAM8,2,0.00837758198437478,5.111883669739111e-11,1.795917784452815e-10,1.4942035966647422e-07
ADAM8,3,0.00533332189206328,0.0006934525876712957,0.0014795342436227717,1.0
ADAM8,4,0.0011483984778920572,0.418513229974646,0.4745206249867689,1.0
ADAM8,5,0.001868508902656199,0.45779657421288544,0.5335483996906955,1.0
ADAM9,1,0.009351670674684492,5.653825057758846e-15,1.9603950941671538e-14,1.6526130643829107e-11
ADAM9,2,0.014672506216454658,1.607605296680251e-29,9.749025481735215e-29,4.699030282196374e-26
ADAM9,3,0.009933425389090395,1.31223468913818e-10,5.020499995223692e-10,3.8356619963509e-07
ADAM9,4,0.015951563823094223,1.2407030285666599e-29,7.49292345557923e-29,3.626574952500347e-26
ADAM9,5,0.021193232411775287,8.004041855620598e-18,6.80110882092413e-17,2.3395814343979008e-14
ADAMTS1,1,0.013504346998967385,2.959283852593433e-26,1.4250389952439217e-25,8.649986701130606e-23
ADAMTS1,2,0.011725343302589808,4.336982878282643e-17,1.8506570734627978e-16,1.2677000953220166e-13
ADAMTS1,3,0.01373635018223962,1.5333819705564799e-16,7.701160652812011e-16,4.4820754999365904e-13
ADAMTS1,4,0.011849577007338954,9.594007047054237e-15,2.4817064246495162e-14,2.8043282598539534e-11
ADAMTS1,5,0.01245000881076243,5.540073341903056e-08,2.5622839206301634e-07,0.00016193634378382633
ADAMTS13,1,-0.010919168087810167,4.6627288458604844e-20,1.9088454364776187e-19,1.3629156416450196e-16
ADAMTS13,2,-0.016770767750801694,3.099633591044128e-35,2.0924316366332533e-34,9.060228986621986e-32
ADAMTS13,3,-0.007028695758711526,1.631451993348176e-05,4.343109450415955e-05,0.04768734176556719
ADAMTS13,4,-0.011429141768473462,2.9745018047639207e-13,7.209343926471757e-13,8.694468775324941e-10
ADAMTS13,5,-0.018144479764844342,2.8645525456815192e-11,1.698394947469996e-10,8.37308709102708e-08
ADAMTS15,1,-0.0023664302829781454,0.016505029445033122,0.02585434140827,1.0
ADAMTS15,2,0.001424264454616631,0.20658519408361997,0.2904384869574343,1.0
ADAMTS15,3,0.0021538837109168784,0.25905466318709053,0.3258247764612158,1.0
ADAMTS15,4,-0.004292115481360416,0.0009402000744737158,0.0014688427673365428,1.0
ADAMTS15,5,0.009322338137885465,0.0002159085476818536,0.0006981202266305951,0.631100684874058
ADAMTS16,1,0.03194778177343018,1.6814997686503508e-249,1.2934273220434146e-247,4.915023823764975e-246
